datetime,sunrise,sunset,conditions,cloudcover,moonphase
2017-11-24,2017-11-24T06:42:36,2017-11-24T16:15:08,Clear,4,0.14
2017-11-25,2017-11-25T06:43:45,2017-11-25T16:14:36,Clear,10.9,0.19
2017-11-26,2017-11-26T06:44:53,2017-11-26T16:14:07,Partially cloudy,37.1,0.24
2017-11-27,2017-11-27T06:46:00,2017-11-27T16:13:40,Partially cloudy,40.6,0.29
2017-11-28,2017-11-28T06:47:06,2017-11-28T16:13:16,Clear,4.6,0.34
2017-11-29,2017-11-29T06:48:12,2017-11-29T16:12:54,Partially cloudy,26.6,0.39
2017-11-30,2017-11-30T06:49:16,2017-11-30T16:12:34,Partially cloudy,25.7,0.43
2017-12-01,2017-12-01T06:50:19,2017-12-01T16:12:16,"Rain, Partially cloudy",50.1,0.47
2017-12-02,2017-12-02T06:51:22,2017-12-02T16:12:01,Partially cloudy,58.5,0.49
2017-12-03,2017-12-03T06:52:23,2017-12-03T16:11:48,Partially cloudy,53.2,0.5
2017-12-04,2017-12-04T06:53:23,2017-12-04T16:11:38,Partially cloudy,25.4,0.51
2017-12-05,2017-12-05T06:54:21,2017-12-05T16:11:29,"Rain, Partially cloudy",62.2,0.53
2017-12-06,2017-12-06T06:55:19,2017-12-06T16:11:24,"Rain, Partially cloudy",49.4,0.56
2017-12-07,2017-12-07T06:56:14,2017-12-07T16:11:20,Clear,1.5,0.61
2017-12-08,2017-12-08T06:57:09,2017-12-08T16:11:19,Partially cloudy,28.9,0.66
2017-12-09,2017-12-09T06:58:02,2017-12-09T16:11:21,"Rain, Overcast",92.4,0.71
2017-12-10,2017-12-10T06:58:54,2017-12-10T16:11:24,"Rain, Partially cloudy",41.4,0.76
2017-12-11,2017-12-11T06:59:43,2017-12-11T16:11:30,Partially cloudy,48.8,0.82
2017-12-12,2017-12-12T07:00:32,2017-12-12T16:11:39,"Rain, Partially cloudy",79.9,0.86
2017-12-13,2017-12-13T07:01:18,2017-12-13T16:11:50,Partially cloudy,26.4,0.91
2017-12-14,2017-12-14T07:02:03,2017-12-14T16:12:03,"Snow, Partially cloudy",49.2,0.94
2017-12-15,2017-12-15T07:02:46,2017-12-15T16:12:19,"Snow, Partially cloudy",41.4,0.97
2017-12-16,2017-12-16T07:03:27,2017-12-16T16:12:36,"Snow, Partially cloudy",42.2,0.99
2017-12-17,2017-12-17T07:04:06,2017-12-17T16:12:57,Clear,0,1
2017-12-18,2017-12-18T07:04:43,2017-12-18T16:13:19,"Snow, Partially cloudy",81.7,0
2017-12-19,2017-12-19T07:05:19,2017-12-19T16:13:44,Partially cloudy,58.1,0.01
2017-12-20,2017-12-20T07:05:52,2017-12-20T16:14:11,"Rain, Partially cloudy",34.7,0.02
2017-12-21,2017-12-21T07:06:23,2017-12-21T16:14:40,Clear,0,0.05
2017-12-22,2017-12-22T07:06:52,2017-12-22T16:15:11,"Rain, Overcast",91.8,0.08
2017-12-23,2017-12-23T07:07:19,2017-12-23T16:15:44,"Rain, Partially cloudy",86.3,0.11
2017-12-24,2017-12-24T07:07:44,2017-12-24T16:16:20,Partially cloudy,29,0.16
2017-12-25,2017-12-25T07:08:07,2017-12-25T16:16:57,"Rain, Partially cloudy",60.8,0.21
2017-12-26,2017-12-26T07:08:27,2017-12-26T16:17:37,Clear,2.4,0.26
2017-12-27,2017-12-27T07:08:45,2017-12-27T16:18:18,Clear,0,0.31
2017-12-28,2017-12-28T07:09:01,2017-12-28T16:19:02,Clear,0,0.36
2017-12-29,2017-12-29T07:09:15,2017-12-29T16:19:47,Partially cloudy,35.3,0.41
2017-12-30,2017-12-30T07:09:26,2017-12-30T16:20:34,"Snow, Partially cloudy",49.1,0.45
2017-12-31,2017-12-31T07:09:35,2017-12-31T16:21:23,Clear,1.3,0.48
2018-06-01,2018-06-01T05:10:00,2018-06-01T20:10:37,"Rain, Partially cloudy",83.2,0.54
2018-06-02,2018-06-02T05:09:34,2018-06-02T20:11:21,"Rain, Partially cloudy",59.8,0.57
2018-06-03,2018-06-03T05:09:09,2018-06-03T20:12:04,Partially cloudy,44.4,0.61
2018-06-04,2018-06-04T05:08:47,2018-06-04T20:12:46,"Rain, Overcast",100,0.65
2018-06-05,2018-06-05T05:08:26,2018-06-05T20:13:26,"Rain, Overcast",90.2,0.69
